encoding,input_family,cohort,selected_n,seen_in_train_n,seen_in_validation_n,seen_in_train_or_validation_n
source_integer,Alexander,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_alone',)",31,4,1,5
source_integer,Alexander,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_plus_Theta_2of2',)",31,15,9,18
source_integer,Alexander,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('Theta_alone',)",31,11,6,12
source_integer,Alexander,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('four_view_3of4',)",31,10,3,11
source_integer,Alexander,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'conditional_percentile_100')",60,17,4,19
source_integer,Alexander,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'raw_sse')",60,29,6,30
source_integer,Alexander,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'relative_nre')",60,30,17,33
source_integer,Alexander,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_isolation_forest')",60,24,4,24
source_integer,Alexander,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_mahalanobis')",60,23,7,24
source_integer,Alexander,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'conditional_percentile_100')",31,10,3,11
source_integer,Alexander,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'raw_sse')",31,17,2,17
source_integer,Alexander,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'relative_nre')",31,16,13,18
source_integer,Alexander,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_isolation_forest')",31,13,1,13
source_integer,Alexander,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_mahalanobis')",31,7,1,7
source_integer,Alexander,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'conditional_percentile_100')",60,17,4,19
source_integer,Alexander,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'raw_sse')",263,128,46,135
source_integer,Alexander,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'relative_nre')",18,8,5,10
source_integer,Alexander,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_isolation_forest')",213,80,27,87
source_integer,Alexander,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_mahalanobis')",333,131,47,142
source_integer,Alexander,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'conditional_percentile_100')",31,10,3,11
source_integer,Alexander,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'raw_sse')",220,103,36,109
source_integer,Alexander,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'relative_nre')",5,2,3,3
source_integer,Alexander,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_isolation_forest')",122,44,9,47
source_integer,Alexander,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_mahalanobis')",271,97,29,102
source_integer,Alexander,"23_anomaly_score_baselines/score_selected_test_ids.csv:('Original raw strict 5/5', 'raw_sse')",39,16,6,18
source_integer,Jones,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_alone',)",31,5,1,6
source_integer,Jones,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_plus_Theta_2of2',)",31,9,6,13
source_integer,Jones,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('Theta_alone',)",31,13,2,13
source_integer,Jones,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('four_view_3of4',)",31,11,2,12
source_integer,Jones,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'conditional_percentile_100')",60,21,2,22
source_integer,Jones,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'raw_sse')",60,24,4,26
source_integer,Jones,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'relative_nre')",60,12,7,16
source_integer,Jones,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_isolation_forest')",60,20,3,20
source_integer,Jones,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_mahalanobis')",60,19,5,20
source_integer,Jones,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'conditional_percentile_100')",31,11,2,12
source_integer,Jones,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'raw_sse')",31,16,2,17
source_integer,Jones,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'relative_nre')",31,12,3,13
source_integer,Jones,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_isolation_forest')",31,13,1,13
source_integer,Jones,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_mahalanobis')",31,7,1,7
source_integer,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'conditional_percentile_100')",60,22,2,23
source_integer,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'raw_sse')",263,94,28,105
source_integer,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'relative_nre')",18,2,2,4
source_integer,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_isolation_forest')",213,66,23,75
source_integer,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_mahalanobis')",333,86,28,100
